lr-Adam,step,loss,epoch
0.0001,49,,
,49,2.142578125,0
0.0001,99,,
,99,1.9052734375,0
0.0001,149,,
,149,1.6640625,0
0.0001,199,,
,199,1.7001953125,0
0.0001,249,,
,249,1.5439453125,0
0.0001,299,,
,299,1.4736328125,0
0.0001,349,,
,349,1.48046875,0
0.0001,399,,
,399,1.5908203125,0
0.0001,449,,
,449,1.8876953125,0
0.0001,499,,
,499,1.5322265625,0
0.0001,549,,
,549,1.2314453125,0
0.0001,599,,
,599,1.7373046875,0
0.0001,649,,
,649,1.48046875,0
0.0001,699,,
,699,1.2783203125,0
0.0001,749,,
,749,1.60546875,0
0.0001,799,,
,799,1.615234375,0
0.0001,849,,
,849,1.29296875,0
0.0001,899,,
,899,1.5068359375,0
0.0001,949,,
,949,1.3212890625,0
0.0001,999,,
,999,1.4921875,0
0.0001,1049,,
,1049,1.0908203125,0
0.0001,1099,,
,1099,1.716796875,0
0.0001,1149,,
,1149,1.390625,0
0.0001,1199,,
,1199,1.3720703125,0
0.0001,1249,,
,1249,1.2978515625,0
0.0001,1299,,
,1299,1.9150390625,0
0.0001,1349,,
,1349,1.7041015625,0
0.0001,1399,,
,1399,1.5556640625,0
0.0001,1449,,
,1449,1.5732421875,0
0.0001,1499,,
,1499,1.49609375,0
0.0001,1549,,
,1549,1.3935546875,0
0.0001,1599,,
,1599,1.5458984375,0
0.0001,1649,,
,1649,1.73046875,0
0.0001,1699,,
,1699,1.5322265625,0
0.0001,1749,,
,1749,1.5615234375,0
0.0001,1799,,
,1799,1.3671875,0
0.0001,1849,,
,1849,1.552734375,0
0.0001,1899,,
,1899,1.3935546875,0
0.0001,1949,,
,1949,1.2177734375,0
0.0001,1999,,
,1999,1.361328125,0
0.0001,2049,,
,2049,1.236328125,0
0.0001,2099,,
,2099,1.3779296875,0
0.0001,2149,,
,2149,1.564453125,0
0.0001,2199,,
,2199,1.57421875,0
0.0001,2249,,
,2249,1.4404296875,0
0.0001,2299,,
,2299,1.1240234375,0
